ID,Category,Title,Content,Severity
0,Symptoms,Inability to Limit Alcohol Consumption,"This symptom implies a gradual but persistent escalation in the amount of alcohol an individual drinks, often resulting in situations where the individual drinks considerably more than they initially intended. It refers to the lack of control over drinking habits, which can strain the individual's physical and psychological wellbeing.",8
1,Symptoms,Failed Attempts to Reduce alcohol Intake,"This refers to cases where an individual repeatedly tries to cut back on their drinking but fails to do so. Despite their efforts and the realization of the adverse effects associated with alcohol, they are unable to curb their alcohol intake, signifying a dependence.",7
2,Symptoms,Unhealthy Preoccupation with Alcohol,"An individual exhibits an intense obsession with alcohol. They might constantly think about when they will be able to drink next, make plans around drinking, and may even rearrange their daily schedule to accommodate their drinking habits.",7
3,Symptoms,Neglect of Responsibilities due to Alcohol Consumption,"This symptom involves the inability to fulfill personal, work, or school responsibilities due to alcohol consumption. Falling behind on tasks, missing deadlines, or forgetting obligations because of time spent drinking or recovering from drinking is common.",8
4,Symptoms,Alcohol-Induced Bouts of Anxiety,"Individuals can feel intense anxiety and restlessness when they are not drinking. This discomfort can compel them to continue their drinking habits to alleviate these feelings, signalizing a physical dependence on alcohol.",6
5,Symptoms,Mood Swings and Irritability,"This involves the display of unusual irritability and erratic mood swings caused by alcohol. Frequent mood changes, defensive behavior, and emotional instability can occur as a result of alcohol consumption.",6
6,Symptoms,Physiological Effects of Alcohol Withdrawal,"This symptom involves physical manifestations that occur when a person suddenly stops or reduces their alcohol intake dramatically. These include shaking or tremors, sweating, nausea, and being unsteady on their feet.",9
7,Symptoms,"Alcohol-Induced ""Blackouts""","A person may experience memory lapses or ""blackouts"" after heavy drinking. This symptom refers to the loss of memory for events that occurred while drinking, even if the individual didn't lose consciousness.",8
8,Symptoms,Persistently High Tolerance to Alcohol,"As a person continues to drink heavily, their body may become accustomed to the effects of alcohol, leading to increased tolerance. This requires them to consume larger amounts of alcohol to achieve the same effects, leading to potential overconsumption and alcohol poisoning.",7
9,Symptoms,Withdrawal Symptoms when Not Drinking,"If an individual has not consumed alcohol for some time, they may experience physical withdrawal symptoms such as shaking, sweating, and nausea. This can also include psychological symptoms like anxiety and irritability.",8
10,Symptoms,Regular Experience of Hangovers,"One of the common symptoms is regularly experiencing hangovers, which includes headaches, nausea, sensitivity to light and sound, and feeling lethargic or sluggish. The frequency and intensity of hangovers often increase with the amount and frequency of alcohol consumption.",6
11,Symptoms,Sneaking or Hiding Alcohol,Individuals might often sneak drinks or hide their alcohol due to fear of judgement or in an attempt to control their drinking habits. This symptom reflects an individual's preoccupation with drinking and attempts to minimize the perceived problem.,7
12,Symptoms,Alcohol as a Coping Mechanism,"This refers to situations where a person uses alcohol as a means of dealing with stress, anxiety, or other emotional issues. Rather than seeking healthier coping strategies, they depend on alcohol for relief.",7
13,Symptoms,Experiencing Cravings for Alcohol,"Cravings comprise a strong and often uncontrollable desire to consume alcohol. These intense urges can interject into a person's thoughts, making it hard to focus on anything else.",9
14,Symptoms,Continued alcohol consumption despite negative consequences,"This involves situations where individuals continue to consume alcohol even when they are aware that it is causing harm to their physical health, mental wellbeing, relationships, or work performance.",8
15,Symptoms,Consistent Binge Drinking,"This symptom involves recurrent episodes of drinking excessive amounts of alcohol in a short period, so much so that it significantly raises the blood alcohol concentration.",8
16,Symptoms,Unusual Irritability and Agitation,"Regular heavy drinking can lead to frequent bouts of irritability, agitation, and restlessness. This can affect a person's ability to handle stress and interact with others effectively.",6
17,Symptoms,Alcohol-Induced Slurred Speech,"One of the notable signs of heavy drinking or intoxication is slurred speech. This happens when alcohol interferes with the brain's communication pathways, affecting the individual's ability to speak clearly.",7
18,Symptoms,Reduction or Elimination of Social and Recreational Activities,Alcohol-dependent individuals may find themselves cutting back or eliminating social and recreational activities that were once an essential part of their life. They do this in favor of spending more time drinking.,7
19,Symptoms,Consumption of alcohol in risky situations,"Choosing to drink in potentially hazardous situations, such as while driving or operating machinery, is a common symptom of alcohol dependence. This poses a considerable risk to the individual's health and safety and to others.",9
20,Symptoms,Deterioration of Physical Appearance and Personal Hygiene,"Heavy drinking may result in individuals neglecting their physical appearance and personal hygiene. This might include unkempt hair, dirty clothes, and general neglect of personal grooming.",6
21,Symptoms,Frequent Alcohol-Induced Hangovers and 'Morning After' Illness,"Regularly experiencing severe hangovers or 'morning after' illnesses is a clear sign of alcohol dependence. This typically includes intense headaches, nausea, vomiting, dizziness, and dehydration.",7
